Openings: TCEC S23 Sufi (50 openings, 100 games)
Engine: Stockfish dev16_202211232145 both sides
Threads=2 Hash=128 SyzygyPath=/usr/games/syzygy7
Adjudication: Syzygy 6 pieces
TC: 1knodes/move
Match played 1000 times (total 100k games), result counts:
35.0-65.0 1
36.0-64.0 2
38.5-61.5 1
39.0-61.0 3
39.5-60.5 2
40.0-60.0 5
40.5-59.5 3
41.0-59.0 9
41.5-58.5 6
42.0-58.0 11
42.5-57.5 16
43.0-57.0 10
43.5-56.5 18
44.0-56.0 18
44.5-55.5 25
45.0-55.0 23
45.5-54.5 22
46.0-54.0 40
46.5-53.5 30
47.0-53.0 32
47.5-52.5 35
48.0-52.0 39
48.5-51.5 30
49.0-51.0 46
49.5-50.5 41
50.0-50.0 32
50.5-49.5 38
51.0-49.0 45
51.5-48.5 29
52.0-48.0 42
52.5-47.5 36
53.0-47.0 32
53.5-46.5 25
54.0-46.0 32
54.5-45.5 30
55.0-45.0 30
55.5-44.5 24
56.0-44.0 17
56.5-43.5 20
57.0-43.0 23
57.5-42.5 13
58.0-42.0 12
58.5-41.5 14
59.0-41.0 6
59.5-40.5 10
60.0-40.0 4
60.5-39.5 4
61.0-39.0 3
61.5-38.5 5
62.0-38.0 1
63.0-37.0 2
63.5-36.5 1
64.0-36.0 1
65.0-35.0 1
